Loading parameters
setup BBS restraint: CustomExternalForce
setup COM res: CustomCentroidBondForce
Using platform: CUDA
Update BBS box span
Natom for fc_wall =  496

Initial system energy
-916648.1035408564 kJ/mol

MD run: 250000 steps
#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Time Remaining"
1350.2%	3375500	10877.000000364096	-918679.1238847743	300.2839041831383	0	--
1350.4%	3376000	10879.000000364504	-918370.2184957336	298.1811435235374	76.8	20:05:24
1350.6%	3376500	10881.000000364911	-919177.8455677275	299.23652038582895	87.4	20:33:55
1350.8%	3377000	10883.000000365319	-917195.9605676369	297.4174957373363	91.6	20:43:23
1351.0%	3377500	10885.000000365726	-916089.3481684313	298.74959083900364	87.7	20:34:32
1351.2%	3378000	10887.000000366133	-917218.4547766619	297.2276173569241	90.1	20:40:03
1351.4%	3378500	10889.000000366541	-917221.9741676734	298.8460828052962	91.8	20:43:46
1351.6%	3379000	10891.000000366948	-917479.6574276127	299.29621982420963	89.5	20:38:32
1351.8%	3379500	10893.000000367356	-917999.6984236715	298.5123569137564	90.8	20:41:26
1352.0%	3380000	10895.000000367763	-917081.7664255695	298.3436895997333	88.8	20:37:03
1352.2%	3380500	10897.00000036817	-917855.4151889905	296.54795972451643	89.9	20:39:31
1352.4%	3381000	10899.000000368578	-916993.3438836625	298.61915901580153	90.9	20:41:33
1352.6%	3381500	10901.000000368986	-915797.4483762416	299.3124345560678	91.7	20:43:14
1352.8%	3382000	10903.000000369393	-918757.0015113093	298.63172212420665	90.3	20:40:19
1353.0%	3382500	10905.0000003698	-916996.418717348	299.4993962446109	91	20:41:49
1353.2%	3383000	10907.000000370208	-917605.673603477	298.0788194770022	91.7	20:43:06
1353.4%	3383500	10909.000000370615	-916352.0973268435	298.82259354965413	90.6	20:40:43
1353.6%	3384000	10911.000000371023	-913926.3546096496	298.14081840769	91.1	20:41:53
1353.8%	3384500	10913.00000037143	-915391.796914652	298.9336541331213	91.6	20:42:58
1354.0%	3385000	10915.000000371838	-918900.0699587101	296.92700271098505	90.8	20:41:03
1354.2%	3385500	10917.000000372245	-916778.8893952672	297.3122204381888	91.2	20:42:04
1354.4%	3386000	10919.000000372653	-918164.3776248447	297.58305101921854	90.4	20:40:12
1354.6%	3386500	10921.00000037306	-918166.897680229	298.740494937085	90.8	20:41:09
1354.8%	3387000	10923.000000373468	-916283.2348264353	298.28704483785526	91.3	20:42:00
1355.0%	3387500	10925.000000373875	-917248.9408802679	297.46426824349425	91.6	20:42:48
1355.2%	3388000	10927.000000374283	-917513.4501819769	298.8182409429577	91	20:41:16
1355.4%	3388500	10929.00000037469	-916519.1340334606	298.32929414539814	91.3	20:42:01
1355.6%	3389000	10931.000000375097	-916857.7855830854	299.5560558079097	91.6	20:42:44
1355.8%	3389500	10933.000000375505	-915357.9711477007	298.0746583939836	91.1	20:41:26
1356.0%	3390000	10935.000000375912	-914480.1544322427	298.531304763126	91.4	20:42:07
1356.2%	3390500	10937.00000037632	-916999.0989028122	299.8954593915071	91.7	20:42:45
1356.4%	3391000	10939.000000376727	-915880.6805997323	299.4791384487137	91.2	20:41:32
1356.6%	3391500	10941.000000377135	-916334.1226787851	299.26202388463525	91.4	20:42:07
1356.8%	3392000	10943.000000377542	-915088.0203497414	297.79580987582085	90.9	20:40:51
1357.0%	3392500	10945.00000037795	-915587.2904108102	298.6639124020841	91.2	20:41:26
1357.2%	3393000	10947.000000378357	-914639.170509933	298.38627690934555	91.4	20:41:58
1357.4%	3393500	10949.000000378765	-915283.9079333898	298.18943472122123	91.7	20:42:28
1357.6%	3394000	10951.000000379172	-915477.388791996	298.93274011722474	91.2	20:41:25
1357.8%	3394500	10953.00000037958	-916881.380885602	298.09252416984975	91.4	20:41:53
1358.0%	3395000	10955.000000379987	-915185.7844425486	297.1245366293571	91.6	20:42:20
1358.2%	3395500	10957.000000380394	-916511.9240463688	299.2818732229729	91.2	20:41:21
1358.4%	3396000	10959.000000380802	-917123.4183733799	297.5765490298819	91.4	20:41:48
1358.6%	3396500	10961.00000038121	-916827.3834272553	298.2050448697731	91	20:40:48
1358.8%	3397000	10963.000000381617	-916271.0610199743	298.48910282368143	91.2	20:41:15
1359.0%	3397500	10965.000000382024	-917671.1065697484	298.0034104081762	91.4	20:41:39
1359.2%	3398000	10967.000000382432	-918467.4490487534	298.3021227901913	91.6	20:42:03
1359.4%	3398500	10969.000000382839	-916312.4466214823	297.7250896842794	91.2	20:41:13
1359.6%	3399000	10971.000000383247	-916027.3967672423	299.00497829483277	91.4	20:41:36
1359.8%	3399500	10973.000000383654	-914592.059605923	297.7643166606446	91.6	20:41:58
1360.0%	3400000	10975.000000384061	-915036.1583694499	297.3554629157698	90.8	20:40:17
1360.2%	3400500	10977.000000384469	-915980.13419866	299.345710996693	91	20:40:39
1360.4%	3401000	10979.000000384876	-916790.3548396188	298.1232786513584	90.7	20:39:54
1360.6%	3401500	10981.000000385284	-915181.8634419371	298.56608269705856	90.9	20:40:15
1360.8%	3402000	10983.000000385691	-917394.7368966402	299.8459289228603	91	20:40:36
1361.0%	3402500	10985.000000386099	-916410.325081259	299.4647439888105	90.7	20:39:53
1361.2%	3403000	10987.000000386506	-916863.1780294338	297.0530334249295	90.9	20:40:14
1361.4%	3403500	10989.000000386914	-916034.6367772417	298.6107397138091	91.1	20:40:34
1361.6%	3404000	10991.000000387321	-916435.130563207	298.60229888024656	90.8	20:39:49
1361.8%	3404500	10993.000000387729	-916579.4729799749	298.76574220662667	90.9	20:40:09
1362.0%	3405000	10995.000000388136	-913760.775917422	298.1445550504279	91.1	20:40:28
1362.2%	3405500	10997.000000388543	-915054.7996995747	298.261387296152	90.8	20:39:47
1362.4%	3406000	10999.00000038895	-916801.6309116608	298.1464735541968	90.9	20:40:05
1362.6%	3406500	11001.000000389358	-916562.7133912332	300.5416600347594	91.1	20:40:23
1362.8%	3407000	11003.000000389766	-917041.2074601296	297.2274950993059	90.8	20:39:45
1363.0%	3407500	11005.000000390173	-917262.5330614652	298.8223482237374	90.9	20:40:02
1363.2%	3408000	11007.00000039058	-918065.575496918	299.45511059049306	91.1	20:40:19
